Value,REG_NAME_7,MVG_NAME,MVS_NAME,EFG_DK
630,South Eastern Queensland,Other Forests and Woodlands,Other forests and woodlands,"T2.5, 0.7; T2.6, 0.3"
631,Stony Plains,Other Forests and Woodlands,Other forests and woodlands,T5.3
632,Swan Coastal Plain,Other Forests and Woodlands,Other forests and woodlands,"T2.6, 0.8; T3.2, 0.2"
633,Sydney Basin,Other Forests and Woodlands,Other forests and woodlands,TF1.2
634,Tasmanian Central Highlands,Other Forests and Woodlands,Other forests and woodlands,"T2.6, 0.7; T4.4, 0.3"
635,Tasmanian Northern Midlands,Other Forests and Woodlands,Other forests and woodlands,"T4.4, 0.4; T4.5, 0.6"
636,Tasmanian Northern Slopes,Other Forests and Woodlands,Other forests and woodlands,"T2.6, 0.8; T4.4, 0.2"
637,Tasmanian South East,Other Forests and Woodlands,Other forests and woodlands,"T2.6, 0.6; T4.4, 0.3; T4.5, 0.1"
638,Tasmanian Southern Ranges,Other Forests and Woodlands,Other forests and woodlands,T2.6
639,Warren,Other Forests and Woodlands,Other forests and woodlands,"T2.6, 0.8; T3.2, 0.2"
640,Wet Tropics,Other Forests and Woodlands,Other forests and woodlands,"T2.6, 0.6; T3.1, 0.4"
642,Australian Alps,"Other Grasslands, Herblands, Sedgelands and Rushlands","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks",T6.4
643,New England Tablelands,"Other Grasslands, Herblands, Sedgelands and Rushlands","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks",T3.2
644,NSW North Coast,"Other Grasslands, Herblands, Sedgelands and Rushlands","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks",T3.2
645,South Eastern Highlands,"Other Grasslands, Herblands, Sedgelands and Rushlands","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks",T3.2
646,South Eastern Queensland,"Other Grasslands, Herblands, Sedgelands and Rushlands","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks",T3.2
647,Ben Lomond,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks","T3.2, 0.2; T6.4, 0.8"
648,Furneaux,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks","T3.2, 0.95; MT1.1, 0.01; MT2.1, 0.04"
649,King,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks","MT1.1, 0.4; MT2.1, 0.6"
650,Tasmanian Central Highlands,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks","T3.2, 0.2; T6.4, 0.8"
651,Tasmanian Northern Midlands,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks",T3.2
652,Tasmanian Northern Slopes,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks",T3.2
653,Tasmanian South East,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks","T3.2, 0.6; MT1.1, 0.1; MT2.1, 0.3"
654,Tasmanian Southern Ranges,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks","T6.4, 0.6, 0.6; MT1.1, 0.1; MT2.1, 0.3"
655,Tasmanian West,"Naturally bare - sand, rock, claypan, mudflat","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks","T3.2, 0.7; MT1.1, 0.1; MT2.1, 0.2"
656,Arnhem Coast,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
657,Arnhem Plateau,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,"T3.1, 0.4; T4.3, 0.6"
658,Brigalow Belt North,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,"T4.2, 0.51, T4.3, 0.49"
659,Brigalow Belt South,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.2
660,Carnarvon,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,TF1.5
661,Central Arnhem,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
662,Central Ranges,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,TF1.5
663,Channel Country,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
664,Daly Basin,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
665,Darwin Coastal,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
666,Desert Uplands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,"T4.3, 0.55; T4.2, 0.45"
667,Davenport Murchison Ranges,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
668,Einasleigh Uplands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.2
669,Gulf Fall and Uplands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
670,Gibson Desert,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,TF1.5
671,Great Sandy Desert,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,TF1.5
672,Gulf Coastal,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
673,Gulf Plains,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,"T4.3, 0.8; T4.2, 0.2"
674,Great Victoria Desert,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
675,Mitchell Grass Downs,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
676,Mount Isa Inlier,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
677,Mulga Lands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
678,Ord Victoria Plain,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
679,Pine Creek,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
680,Sturt Plateau,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
681,Tanami,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
682,Victoria Bonaparte,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,T4.3
683,Brigalow Belt North,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
684,Brigalow Belt South,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
685,Broken Hill Complex,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
686,Burt Plain,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
687,Central Arnhem,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
688,Central Ranges,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T5.6
689,Channel Country,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
690,Cape York Peninsula,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
691,Daly Basin,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
692,Darwin Coastal,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
693,Desert Uplands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,"T4.2, 0.6; T4.3, 0.4"
694,Davenport Murchison Ranges,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
695,Darling Riverine Plains,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
696,Einasleigh Uplands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
697,Eyre Yorke Block,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,"T4.4, 0.6; T5.6, 0.4"
698,Finke,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
699,Flinders Lofty Block,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
700,Gulf Fall and Uplands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
701,Great Sandy Desert,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
702,Gulf Coastal,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
703,Gulf Plains,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
704,Great Victoria Desert,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
705,Kanmantoo,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,"T4.4, 0.7, T2.6, 0.3"
706,MacDonnell Ranges,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
707,Murray Darling Depression,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,"TF1.2, 0.4; TF1.5, 0.6"
708,Mitchell Grass Downs,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,"TF1.5, 0.6; TF1.2, 0.4"
709,Mount Isa Inlier,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,"T4.3, 0.7; T4.2, 0.3"
710,Mulga Lands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5 (Qld); T5.6 (NSW)
711,Naracoorte Coastal Plain,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,"T4.4, 0.6; T5.6, 0.4"
712,NSW South Western Slopes,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.4
713,Ord Victoria Plain,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
714,Pine Creek,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
715,South Eastern Queensland,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,"T4.2, 0.4; T4.4, 0.6"
716,Simpson Strzelecki Dunefields,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
717,Stony Plains,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T5.6
718,Sturt Plateau,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
719,Sydney Basin,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T2.6
720,Tanami,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,TF1.5
721,Victoria Bonaparte,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
722,Wet Tropics,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,T4.2
723,Brigalow Belt South,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
724,Carnarvon,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
725,Central Ranges,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
726,Channel Country,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
727,Coolgardie,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
728,Cobar Peneplain,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
729,Desert Uplands,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
730,Darling Riverine Plains,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
731,Finke,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
732,Gascoyne,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
733,Gawler,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
734,Gibson Desert,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
735,Great Sandy Desert,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
736,Great Victoria Desert,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
737,Little Sandy Desert,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
738,Murray Darling Depression,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
739,Mitchell Grass Downs,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
740,Mount Isa Inlier,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
741,Mulga Lands,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
742,Murchison,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
743,Nullarbor,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
744,Pilbara,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
745,Stony Plains,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
746,Yalgoo,Acacia Forests and Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
747,Broken Hill Complex,Acacia Open Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
748,Simpson Strzelecki Dunefields,Acacia Open Woodlands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
749,Avon Wheatbelt,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
750,Brigalow Belt South,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
751,Broken Hill Complex,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
752,Burt Plain,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
753,Carnarvon,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
754,Central Ranges,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
755,Channel Country,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
756,Coolgardie,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
757,Cobar Peneplain,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
758,Davenport Murchison Ranges,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
759,Darling Riverine Plains,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
760,Finke,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
761,Gascoyne,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
762,Gawler,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
763,Gibson Desert,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
764,Great Sandy Desert,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
765,Great Victoria Desert,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
766,Little Sandy Desert,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
767,MacDonnell Ranges,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
768,Murray Darling Depression,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
769,Mitchell Grass Downs,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
770,Mulga Lands,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
771,Murchison,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
772,Nullarbor,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
773,Pilbara,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
774,Simpson Strzelecki Dunefields,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
775,Stony Plains,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
776,Tanami,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
777,Yalgoo,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,T5.3
778,South Eastern Highlands,Acacia Open Woodlands,Other Acacia tall open shrublands and [tall] shrublands,"T2.6, 0.6; TF1.2, 0.4"
779,Victorian Midlands,Acacia Open Woodlands,Other Acacia tall open shrublands and [tall] shrublands,"T2.6, 0.6; TF1.2, 0.4"
780,Australian Alps,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,TF1.2
781,Avon Wheatbelt,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T3.2
782,Brigalow Belt North,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T1.2
783,Brigalow Belt South,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T1.2
784,Ben Lomond,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,TF1.2
785,Broken Hill Complex,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
786,Burt Plain,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
787,Carnarvon,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
788,Central Kimberley,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.3
789,Central Ranges,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
790,Channel Country,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
791,Central Mackay Coast,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.3
792,Coolgardie,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
793,Dampierland,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.3
794,Desert Uplands,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.3
795,Darling Riverine Plains,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,"T5.6, 0.6; TF1.5, 0.4"
796,Einasleigh Uplands,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.3
797,Esperance Plains,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T3.2
798,Eyre Yorke Block,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.6
799,Finke,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
800,Flinders Lofty Block,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
801,Furneaux,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,TF1.2
802,Gascoyne,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
803,Gawler,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
804,Geraldton Sandplains,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T3.2
805,Gulf Fall and Uplands,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.3
806,Gibson Desert,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
807,Great Sandy Desert,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
808,Gulf Plains,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.3
809,Great Victoria Desert,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,"T5.3, 0.9; T5.6, 0.1"
810,Jarrah Forest,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T3.2
811,Kanmantoo,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T2.6
812,MacDonnell Ranges,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
813,Mallee,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T3.2
814,Murray Darling Depression,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.6
815,Mitchell Grass Downs,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.6
816,Mount Isa Inlier,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.6
817,Mulga Lands,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
818,Murchison,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,"T5.3, 0.9; T5.1, 0.1"
819,Naracoorte Coastal Plain,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.6
820,NSW South Western Slopes,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,TF1.2
821,Nullarbor,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.6
822,Ord Victoria Plain,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.3
823,Pilbara,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
824,Riverina,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.6
825,South East Coastal Plain,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,TF1.2
826,South East Corner,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,"TF1.2 (Vic); T2.6, 0.8 (NSW); MT2.1, 0.2 (NSW)"
827,South Eastern Highlands,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,"TF1.2, 0.9 (Vic); T2.6, 0.1 (Vic); T2.6 (NSW)"
828,Simpson Strzelecki Dunefields,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
829,Stony Plains,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
830,Swan Coastal Plain,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T3.2
831,Sydney Basin,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,MT2.1
832,Tanami,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T5.3
833,Tiwi Cobourg,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.2
834,Tasmanian Northern Midlands,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,TF1.2
835,Tasmanian South East,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,TF1.2
836,Victorian Midlands,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T2.6
837,Warren,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T3.2
838,Wet Tropics,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,T4.3
839,Yalgoo,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,"T3.2, 0.4; T5.6, 0.5; T5.3, 0.1"
840,Murchison,Acacia Forests and Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
841,Riverina,Acacia Forests and Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
842,Broken Hill Complex,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,"T5.6, 0.6; T5.3, 0.4"
843,Channel Country,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
844,Coolgardie,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
845,Finke,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
846,Flinders Lofty Block,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
847,Gawler,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
848,Great Victoria Desert,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
849,Murchison,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
850,Nullarbor,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
851,Simpson Strzelecki Dunefields,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
852,Stony Plains,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
853,Broken Hill Complex,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,"TF1.5, 0.8; T5.3, 0.2"
854,Carnarvon,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.3
855,Channel Country,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,"TF1.5, 0.8; T5.3, 0.2"
856,Coolgardie,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.1
857,Eyre Yorke Block,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
858,Flinders Lofty Block,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,"TF1.5, 0.8; T5.3, 0.2"
859,Gascoyne,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.3
860,Gawler,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
861,Great Sandy Desert,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.1
862,Great Victoria Desert,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
863,Murray Darling Depression,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.1
864,Mulga Lands,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.3
865,Murchison,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,"TF1.5, 0.51; T5.1,0.49"
866,Nullarbor,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.6
867,Simpson Strzelecki Dunefields,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,T5.3
868,Stony Plains,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,"TF1.5, 0.6; T5.3, 0.4"
869,Yalgoo,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,"TF1.5, 0.51; T5.1,0.49"
871,Cobar Peneplain,"Chenopod Shrublands, Samphire Shrublands and Forblands",Acacia (+/- low) open woodlands and shrublands with chenopods,"T5.1, 0.4; T5.3, 0.6"
872,Darling Riverine Plains,"Chenopod Shrublands, Samphire Shrublands and Forblands",Acacia (+/- low) open woodlands and shrublands with chenopods,"T5.1, 0.4; T5.3, 0.6"
873,Mulga Lands,"Chenopod Shrublands, Samphire Shrublands and Forblands",Acacia (+/- low) open woodlands and shrublands with chenopods,"T5.1, 0.4; T5.3, 0.6"
874,Desert Uplands,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with hummock grass,T4.3
